lp_id,payload_name,payload_class,conjugation_class,linker_class,linker_name,raw_site_label,site_resolved,qc_status,payload_anchor_atom,stub_anchor_atom,spacer_atoms,n_stub_atoms,n_payload_atoms,true_linker_size,pattern_stub,anchors_ambiguous,in_cys_trainset,in_multisite_trainset,linker_smiles,payload_smiles,canonical_lp_smiles,stereo_defined,source_type
paclitaxel-derivative__propargyl-peg2-amine,Paclitaxel derivative,taxane,cysteine,click-handle,Propargyl-PEG2-amine,Cysteine,cysteine,flagged,34,30,23,13,34,23,triazole,False,False,True,O=C(COC1CCCCCc2c1[nH][nH]n2c3ccc(CS)cc3)NCCOP(=O)(O)O[P+](O)(O)O,[H][C@@]34C[C@H]2OC(c1ccccc1)O[C@@]2(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]6([H])C4CC/C5=C/C(=O)/C=C\[C@@]56C,O=C(COC1CCCCCC2=C1NNN2c1ccc(CS)cc1)NCCOP(=O)(O)O[P+](O)(O)O.C[C@]12C=CC(=O)C=C1CCC1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1C[C@H]1OC(c3ccccc3)O[C@]12C(=O)CO,no,ADCpedia
pnu-159682-derivative__val-cit-pab-oh__02,PNU-159682 derivative,PBD_anthracycline,glutamine,ValCitPAB,Val-cit-PAB-OH,Lysine: The C-terminal lysine on the heavy chain of the humanized anti-Trop-2 antibody was replaced with the LLQGA tag using standard molecular biology techniques.,glutamine,flagged,52,48,10,31,52,10,amide,False,False,True,CC(=O)N[C@@H](CCCCN)C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=O)Nc1ccc(COC(=O)O)cc1)C(=O)O)C(C)C,CC[C@@H](CC)C([C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)NC(Cc2ccccc2)c3nccs3)OC)N(C)C(=O)[C@@H](NC(=O)C(C)(C)N)C(C)C,CC(=O)N[C@@H](CCCCN)C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=O)Nc1ccc(COC(=O)O)cc1)C(=O)O)C(C)C.CCC(CC)C([C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)NC(Cc1ccccc1)c1nccs1)OC)N(C)C(=O)[C@@H](NC(=O)C(C)(C)N)C(C)C,no,ADCpedia
dm4__r-azetidine-2-carboxylic-acid,DM4,maytansinoid,cysteine,other,(R)-Azetidine-2-carboxylic acid,cysteine,cysteine,flagged,53,29,4,3,53,4,amide,False,False,True,NC(=O)CCCS,COc1cc4cc(c1Cl)N(C)C(=O)C[C@H](OC(=O)[C@H](C)N(C)C(=O)CCC(C)(C)S)[C@]2(C)O[C@H]2[C@H](C)[C@@H]3C[C@@](O)(NC(=O)O3)[C@H](OC)/C=C\C=C(C)/C4,NC(=O)CCCS.COc1cc2cc(c1Cl)N(C)C(=O)C[C@H](OC(=O)[C@H](C)N(C)C(=O)CCC(C)(C)S)[C@]1(C)O[C@H]1[C@H](C)[C@@H]1C[C@@](O)(NC(=O)O1)[C@H](OC)/C=C\C=C(\C)C2,yes,ADCpedia
seco-duba__mal-peg1-val-cit-oh,Seco-DUBA,duocarmycin,cysteine,ValCit,Mal-PEG1-Val-Cit-OH,cysteine,cysteine,passed,38,7,49,9,38,49,succinimide_thioether_4c,False,True,True,CC(C)[C@H](NC(=O)OCCOCCN1C(=O)CC(S)C1=O)C(=O)N[C@@H](CCCNC(N)=O)C(=O)NC2/C=C\C(COC(=O)N(C)CCN(CCOCCO)C(=O)O)=C/C2,Cc1cccc2c(O)cc3c(c12)C(CCl)CN3C(=O)/C/6=C/[NH+]\5/C=C(NC(=O)c4ccc(O)cc4)\C=C/C5=N6,CC(C)[C@H](NC(=O)OCCOCCN1C(=O)CC(S)C1=O)C(=O)N[C@@H](CCCNC(N)=O)C(=O)NC1C=CC(COC(=O)N(C)CCN(CCOCCO)C(=O)O)=CC1.Cc1cccc2c(O)cc3c(c12)C(CCl)CN3C(=O)C1=C[NH+]2C=C(NC(=O)c3ccc(O)cc3)C=CC2=N1,no,ADCpedia
seco-duba__mc-gly-gly-phe-gly__02,Seco-DUBA,duocarmycin,cysteine,GGFG,MC-Gly-Gly-Phe-Gly,cysteine,cysteine,passed,30,24,43,9,30,43,succinimide_thioether_4c,True,True,True,O=C(O)NCCOCNC(=O)CNC(=O)[C@H](Cc1ccccc1)NC(O)CNC(=O)CNC(=O)CCOCCOCCOCCN2C(=O)CC(S)C2=O,CC[C@@]1(O)C(=O)OCc5c1cc4c3nc2cc(F)c(C)cc2c(CN)c3Cn4c5=O,O=C(O)NCCOCNC(=O)CNC(=O)[C@H](Cc1ccccc1)NC(O)CNC(=O)CNC(=O)CCOCCOCCOCCN1C(=O)CC(S)C1=O.CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc(F)c(C)cc1c2CN,no,ADCpedia
paclitaxel-derivative__ala-co-amide-c4-boc,Paclitaxel derivative,taxane,other,other,Ala-CO-amide-C4-Boc,<EMPTY>,other,passed,,,,,,,,,False,False,C[C@H](NC(=O)[C@H](C)NC(=O)CCNC(=O)CCC(=O)O)C(=O)O,[H][C@H]6C[C@@]5([H])[C@]4([H])C[C@H]3O[C@@H](c2ccc(Cc1cccc(N)c1)cc2)OC3(C(=O)CO)[C@@]4(C)C[C@H](O)[C@]5(F)[C@@]/7(C)/C=C\C(=O)\C=C67,C[C@H](NC(=O)[C@H](C)NC(=O)CCNC(=O)CCC(=O)O)C(=O)O.C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1C[C@H]1O[C@@H](c3ccc(Cc4cccc(N)c4)cc3)OC12C(=O)CO,no,ADCpedia
seco-duba__mc-gly-gly-phe-gly__03,Seco-DUBA,duocarmycin,cysteine,GGFG,MC-Gly-Gly-Phe-Gly,cysteine,cysteine,passed,30,24,43,9,30,43,succinimide_thioether_4c,True,True,True,O=C(O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)CCOCCOCCOCCN2C(=O)CC(S)C2=O,CC[C@@]1(O)C(=O)OCc5c1cc4c3nc2cc(F)c(N)cc2c(CN)c3Cn4c5=O,O=C(O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)CCOCCOCCOCCN1C(=O)CC(S)C1=O.CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc(F)c(N)cc1c2CN,no,ADCpedia
maytansine-derivative__propargyl-peg2-amine,Maytansine derivative,maytansinoid,click,click-handle,Propargyl-PEG2-amine,cysteine,click_chemistry,passed,,,,,,,,,False,False,CC(C)(CCC(=O)O)SC2CC(=O)N(CCOCCOCCN1C(=O)CC(S)C1=O)C2=O,CN[C@@H](C)C(=O)O[C@H]3CC(=O)Nc1cc(cc(OC)c1Cl)C/C(C)=C\C=C/[C@@H](OC)[C@@]2(O)C[C@H](OC(=O)N2)[C@@H](C)[C@@H]4O[C@@]34,CC(C)(CCC(=O)O)SC1CC(=O)N(CCOCCOCCN2C(=O)CC(S)C2=O)C1=O.CN[C@@H](C)C(=O)O[C@H]1CC(=O)Nc2cc(cc(OC)c2Cl)C/C(C)=C\C=C/[C@@H](OC)[C@@]2(O)C[C@H](OC(=O)N2)[C@@H](C)[C@@H]2O[C]12,no,ADCpedia
mmaf__5-maleimidovaleric-acid,MMAF,auristatin,cysteine,other,5-Maleimidovaleric acid,Cystiene,cysteine,passed,52,47,7,9,52,7,succinimide_thioether_4c,True,True,True,O=C(O)CCCCCCn1c(=O)cc(S)c1=O,CC[C@H](C)[C@H]([C@@H](CC(=O)N1CCC[C@@H]1[C@@H](OC)[C@H](C)C(=O)N[C@H](Cc2ccccc2)C(=O)O)OC)N(C)C(=O)[C@H](NC(=O)[C@@H](NC)C(C)C)C(C)C,O=C(O)CCCCCCN1C(=O)C=C(S)C1=O.CC[C@H](C)[C@H]([C@@H](CC(=O)N1CCC[C@@H]1[C@@H](OC)[C@H](C)C(=O)N[C@H](Cc1ccccc1)C(=O)O)OC)N(C)C(=O)[C@H](NC(=O)[C@@H](NC)C(C)C)C(C)C,yes,ADCpedia
maytansine-derivative__mc-aaa-nhch2och2cooh,Maytansine derivative,maytansinoid,cysteine,other,MC-AAA-NHCH2OCH2COOH,Cysteine,cysteine,flagged,53,29,22,9,53,22,succinimide_thioether_4c,False,True,True,CNC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)CCCCC(=O)NCCN1C(=O)CC(S)C1=O,COc1cc4cc(c1Cl)N(C)C(=O)C[C@H](OC(=O)[C@H](C)N(C)C(=O)CCCCCS)[C@]2(C)O[C@H]2[C@H](C)[C@@H]3C[C@@](O)(NC(=O)O3)[C@H](OC)/C=C\C=C(C)/C4,CNC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)CCCCC(=O)NCCN1C(=O)CC(S)C1=O.COc1cc2cc(c1Cl)N(C)C(=O)C[C@H](OC(=O)[C@H](C)N(C)C(=O)CCCCCS)[C@]1(C)O[C@H]1[C@H](C)[C@@H]1C[C@@](O)(NC(=O)O1)[C@H](OC)/C=C\C=C(\C)C2,no,ADCpedia
maytansine-derivative__boc-nh-peg3-c2-triazole-dbco-peg4-vc-pab-dmea,Maytansine derivative,maytansinoid,cysteine,ValCitPAB,Boc-NH-PEG3-C2-triazole-DBCO-PEG4-VC-PAB-DMEA,cysteine,cysteine,flagged,,,,,,,,,False,False,CCC(=O)N(C)CCOCCOCCOCCOCCC(=O)NCCC(=O)N4Cc1ccccc1c2nn[nH]c2c3ccccc34,COc1cc4cc(c1Cl)N(C)C(=O)C[C@H](OC(=O)[C@H](C)N(C)C(C)=O)[C@]2(C)O[C@H]2[C@H](C)[C@@H]3C[C@@](O)(NC(=O)O3)[C@H](OC)/C=C/C=C(C)\C4,CCC(=O)N(C)CCOCCOCCOCCOCCC(=O)NCCC(=O)N1Cc2ccccc2-c2nn[nH]c2-c2ccccc21.COc1cc2cc(c1Cl)N(C)C(=O)C[C@H](OC(=O)[C@H](C)N(C)C(C)=O)[C@]1(C)O[C@H]1[C@H](C)[C@@H]1C[C@@](O)(NC(=O)O1)[C@H](OC)/C=C/C=C(/C)C2,yes,ADCpedia
pbd-dimer__mc-val-cit-pab__02,PBD dimer,PBD_anthracycline,cysteine,ValCitPAB,MC-Val-Cit-PAB,cysteine,cysteine,flagged,47,29,25,9,47,25,succinimide_thioether_4c,True,True,True,CC(C)[C@H](NC(=O)CCCCCN1C(=O)CC(S)C1=O)C(=O)N[C@@H](C)C(=O)Nc2ccccc2,C7=C/N6C(=O)c5cc(OC)c(OCCCOc4cc3/N=C\[C@]2([H])C/C(c1ccc(OC)cc1)=C\N2C(=O)c3cc4OC)cc5/N=C\[C@]6([H])C7,CC(C)[C@H](NC(=O)CCCCCN1C(=O)CC(S)C1=O)C(=O)N[C@@H](C)C(=O)Nc1ccccc1.COc1ccc(C2=CN3C(=O)c4cc(OC)c(OCCCOc5cc6c(cc5OC)C(=O)N5C=CC[C@H]5C=N6)cc4N=C[C@@H]3C2)cc1,no,ADCpedia
seco-duba__mc-gly-gly-phe-gly__04,Seco-DUBA,duocarmycin,cysteine,GGFG,MC-Gly-Gly-Phe-Gly,cysteine,cysteine,flagged,30,24,43,9,30,43,succinimide_thioether_4c,True,True,True,O=C(CCOCCOCCOCCN1C(=O)CC(S)C1=O)NCC(=O)NCC(=O)N[C@@H](Cc2ccccc2)C(=O)NCC(=O)NCOCCS(=O)(=O)O,CC[C@@]1(O)C(=O)OCc5c1cc4c3nc2cc(F)c(C)cc2c(CN)c3Cn4c5=O,O=C(CCOCCOCCOCCN1C(=O)CC(S)C1=O)NCC(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(=O)NCOCCS(=O)(=O)O.CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc(F)c(C)cc1c2CN,no,ADCpedia
dxd-derivative__mc-gly-gly-phe-gly__02,Dxd derivative,camptothecin,cysteine,GGFG,MC-Gly-Gly-Phe-Gly,cysteine,cysteine,flagged,32,19,35,9,32,35,succinimide_thioether_4c,True,True,True,CC(C)[C@H](NC(O)CCCCCN1C(=O)CC(S)C1=O)C(=O)N[C@@H](C)C(=O)Nc2ccc(CNC(=O)N(CCS(C)(=O)=[OH+])COCC(=O)O)cc2,CC[C@@]6(O)C(=O)OCC5C(=O)N/4Cc1c([nH+]c3cc(F)c(C)c2CC[C@H](N)c1c23)C4=C\C56,CC(C)[C@H](NC(O)CCCCCN1C(=O)CC(S)C1=O)C(=O)N[C@@H](C)C(=O)Nc1ccc(CNC(=O)N(CCS(C)(=O)=[OH+])COCC(=O)O)cc1.CC[C@@]1(O)C(=O)OCC2C(=O)N3Cc4c([nH+]c5cc(F)c(C)c6c5c4[C@@H](N)CC6)C3=CC21,no,ADCpedia
mmae__val-cit-pab-oh__02,MMAE,auristatin,lysine,ValCitPAB,Val-cit-PAB-OH,<EMPTY>,lysine,passed,78,0,10,31,51,10,amide,False,False,True,CCOCCOCCOCC(=O)N[C@H](C(=O)N[C@@H](CCCNC(N)=O)C(=O)Nc1ccc(COC(=O)O)cc1)C(C)C,CC[C@H](C)[C@@H](C(CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)N[C@H](C)[C@@H](O)c2ccccc2)OC)N(C)C(=O)[C@@H](NC(=O)[C@@H](NC)C(C)C)C(C)C,CCOCCOCCOCC(=O)N[C@H](C(=O)N[C@@H](CCCNC(N)=O)C(=O)Nc1ccc(COC(=O)O)cc1)C(C)C.CC[C@H](C)[C@@H](C(CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)N[C@H](C)[C@@H](O)c1ccccc1)OC)N(C)C(=O)[C@@H](NC(=O)[C@@H](NC)C(C)C)C(C)C,no,ADCpedia
mmaf__propargyl-peg2-amine__02,MMAF,auristatin,cysteine,click-handle,Propargyl-PEG2-amine,cysteine,cysteine,flagged,,,,,,,,,False,False,NNC(=O)CCCCCN1C(=O)CC(S)C1=O,CC[C@H](C)[C@@H](C(CC(=O)N1CCC[C@H]1C(OC)[C@@H](C)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(N)=O)OC)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)CCCC(=O)O)C(C)C,NNC(=O)CCCCCN1C(=O)CC(S)C1=O.CC[C@H](C)[C@@H](C(CC(=O)N1CCC[C@H]1C(OC)[C@@H](C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(N)=O)OC)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)CCCC(=O)O)C(C)C,no,ADCpedia
dm4__r-azetidine-2-carboxylic-acid__02,DM4,maytansinoid,lysine,other,(R)-Azetidine-2-carboxylic acid,Lysine,lysine,flagged,53,29,4,3,53,4,amide,False,False,True,NC(=O)CCCS,[H][C@@]14C[C@@](O)(NC(=O)O1)[C@H](OC)/C=C/C=C(C)/Cc2cc(OC)c(Cl)c(c2)N(C)C(=O)C[C@H](OC(=O)[C@H](C)N(C)C(=O)CCC(C)(C)S)[C@]3(C)O[C@@]3([H])[C@@H]4C,NC(=O)CCCS.COc1cc2cc(c1Cl)N(C)C(=O)C[C@H](OC(=O)[C@H](C)N(C)C(=O)CCC(C)(C)S)[C@]1(C)O[C@H]1[C@H](C)[C@@H]1C[C@@](O)(NC(=O)O1)[C@H](OC)/C=C/C=C(\C)C2,yes,ADCpedia
dgn549-derivative__mc-val-ala-oh,DGN549 derivative,PBD_anthracycline,cysteine,ValAla,MC-Val-Ala-OH,cysteine,cysteine,passed,53,51,20,10,53,20,succinimide_thioether_5c,True,True,True,C[C@H](NC(=O)[C@H](C)NC(=O)CCCCC(=O)NCCN1C(=O)CCC(S)C1=O)C(=O)O,COc4cc3C(=O)N2c1ccccc1C[C@H]2/C=N\c3cc4OCc9cc(N)cc(COc8cc7NC[C@@H]6Cc5ccccc5N6C(=O)c7cc8OC)c9,C[C@H](NC(=O)[C@H](C)NC(=O)CCCCC(=O)NCCN1C(=O)CCC(S)C1=O)C(=O)O.COc1cc2c(cc1OCc1cc(N)cc(COc3cc4c(cc3OC)C(=O)N3c5ccccc5C[C@H]3CN4)c1)N=C[C@@H]1Cc3ccccc3N1C2=O,no,ADCpedia
seco-duba__propargyl-peg2-amine,Seco-DUBA,duocarmycin,click,click-handle,Propargyl-PEG2-amine,cysteine,click_chemistry,passed,,,,,,,,,False,False,O=C(O)CCSC2CC(=O)N(CCOCCCOCCN1C(=O)CC(S)C1=O)C2=O,CN[C@@H](C)C(=O)OC3CC(=O)N(C)c1cc(cc(OC)c1Cl)C/C(C)=C/C=C/[C@@H](OC)[C@@]2(O)C[C@H](OC(=O)N2)[C@@H](C)[C@@H]4O[C@@]34C,O=C(O)CCSC1CC(=O)N(CCOCCCOCCN2C(=O)CC(S)C2=O)C1=O.CN[C@@H](C)C(=O)OC1CC(=O)N(C)c2cc(cc(OC)c2Cl)C/C(C)=C/C=C/[C@@H](OC)[C@@]2(O)C[C@H](OC(=O)N2)[C@@H](C)[C@@H]2O[C@@]12C,no,ADCpedia
dm4__r-azetidine-2-carboxylic-acid__03,DM4,maytansinoid,cysteine,other,(R)-Azetidine-2-carboxylic acid,cysteine,cysteine,flagged,53,29,4,3,53,4,amide,False,False,True,NC(=O)CCCS,COc1cc4cc(c1Cl)N(C)C(=O)C[C@H](OC(=O)[C@H](C)N(C)C(=O)CCC(C)(C)S)[C@]2(C)O[C@@H]2[C@H](C)[C@@H]3C[C@@](O)(NC(=O)O3)[C@H](OC)/C=C/C=C(C)/C4,NC(=O)CCCS.COc1cc2cc(c1Cl)N(C)C(=O)C[C@H](OC(=O)[C@H](C)N(C)C(=O)CCC(C)(C)S)[C@]1(C)O[C@@H]1[C@H](C)[C@@H]1C[C@@](O)(NC(=O)O1)[C@H](OC)/C=C/C=C(\C)C2,yes,ADCpedia
dm4__propargyl-peg2-amine,DM4,maytansinoid,click,click-handle,Propargyl-PEG2-amine,lysine,click_chemistry,passed,,,,,,,,,False,False,C[C@H](NC(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)CCCSCC1CC(=O)N(CCCC(N)=O)C1=O)C(N)=O,COc4cc3cc(CN(C)C(=O)C[C@H](OC(=O)[C@H](C)N(C)C(=O)CCCCCSC)[C@]1(C)O[C@@H]1[C@H](C)[C@@H]2C[C@@](O)(NC(=O)O2)[C@H](OC)/C=C/C=C(C)\C3)c4Cl,C[C@H](NC(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)CCCSCC1CC(=O)N(CCCC(N)=O)C1=O)C(N)=O.COc1cc2cc(c1Cl)CN(C)C(=O)C[C@H](OC(=O)[C@H](C)N(C)C(=O)CCCCCSC)[C@]1(C)O[C@@H]1[C@H](C)[C@@H]1C[C@@](O)(NC(=O)O1)[C@H](OC)/C=C/C=C(/C)C2,no,ADCpedia
dxd-derivative__mc-gly-gly-phe-gly__03,Dxd derivative,camptothecin,cysteine,GGFG,MC-Gly-Gly-Phe-Gly,cysteine,cysteine,passed,32,19,35,9,32,35,succinimide_thioether_4c,True,True,True,O=C(O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)CCOCCOCCOCCN2C(=O)CC(S)C2=O,CC[C@@]1(O)C(=O)OCc5c1cc4c3nc2cc(F)c(N)cc2c(CO)c3Cn4c5=O,O=C(O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)CCOCCOCCOCCN1C(=O)CC(S)C1=O.CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc(F)c(N)cc1c2CO,no,ADCpedia
paclitaxel-derivative__ala-co-amide-c4-boc__02,Paclitaxel derivative,taxane,other,other,Ala-CO-amide-C4-Boc,<EMPTY>,other,passed,,,,,,,,,False,False,C[C@H](NC(=O)[C@H](C)NC(=O)CCNC(=O)CCC(=O)O)C(=O)O,[H][C@@]46C[C@H]3O[C@@H](c2ccc(Cc1cccc(N)c1)cc2)OC3(C(=O)CO)[C@@]4(C)C[C@H](O)[C@]7(F)[C@@]5(C)/C=C\C(=O)\C=C5\[C@@H](F)C[C@@]67[H],C[C@H](NC(=O)[C@H](C)NC(=O)CCNC(=O)CCC(=O)O)C(=O)O.C[C@]12C[C@H](O)[C@@]3(F)[C@@H](C[C@H](F)C4=CC(=O)C=C[C@@]43C)[C@@H]1C[C@H]1O[C@@H](c3ccc(Cc4cccc(N)c4)cc3)OC12C(=O)CO,no,ADCpedia
dm4__amino-peg10-oh,DM4,maytansinoid,lysine,PEG,Amino-PEG10-OH,lysine,lysine,flagged,53,29,5,3,53,5,amide,False,False,True,CC(S)CCC(N)=O,COc1cc4cc(c1Cl)N(C)C(=O)C[C@H](OC(=O)[C@H](C)N(C)C(=O)CCC(C)(C)S)[C@]2(C)O[C@H]2[C@H](C)[C@@H]3C[C@@](O)(NC(=O)O3)[C@H](OC)/C=C\C=C(C)/C4,CC(S)CCC(N)=O.COc1cc2cc(c1Cl)N(C)C(=O)C[C@H](OC(=O)[C@H](C)N(C)C(=O)CCC(C)(C)S)[C@]1(C)O[C@H]1[C@H](C)[C@@H]1C[C@@](O)(NC(=O)O1)[C@H](OC)/C=C\C=C(\C)C2,no,ADCpedia
mmae__d-glucuronide-pnp-carbonate,MMAE,auristatin,cysteine,other,ÃÂ²-D-glucuronide-pNP-carbonate,cysteine,cysteine,passed,,,,,,,,,False,False,COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCC(=O)NCCCC[C@H](NC(=O)[C@H](CN)NC(=O)C(S)CC(=O)O)C(=O)NCCC(=O)Nc1cc(COC(=O)O)ccc1O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O,CC[C@H](C)C([C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)N[C@H](C)[C@@H](O)c2ccccc2)OC)N(C)C(=O)[C@@H](NC(=O)[C@@H](NC)C(C)C)C(C)C,COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCC(=O)NCCCC[C@H](NC(=O)[C@H](CN)NC(=O)C(S)CC(=O)O)C(=O)NCCC(=O)Nc1cc(COC(=O)O)ccc1O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O.CC[C@H](C)C([C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)N[C@H](C)[C@@H](O)c1ccccc1)OC)N(C)C(=O)[C@@H](NC(=O)[C@@H](NC)C(C)C)C(C)C,no,ADCpedia
seco-duba__ala-co-amide-c4-boc,Seco-DUBA,duocarmycin,other,other,Ala-CO-amide-C4-Boc,<EMPTY>,other,passed,,,,,,,,,False,False,C[C@H](NC(=O)[C@H](C)NC(=O)CCNC(=O)CCC(=O)O)C(=O)O,[H][C@@]46C[C@H]3O[C@@H](c2ccc([C@@H](C)c1cccc(N)c1)cc2)OC3(C(=O)CO)[C@@]4(C)C[C@H](O)[C@]7(F)[C@@]5(C)/C=C\C(=O)\C=C5\[C@@H](F)C[C@@]67[H],C[C@H](NC(=O)[C@H](C)NC(=O)CCNC(=O)CCC(=O)O)C(=O)O.C[C@H](c1ccc([C@@H]2O[C@@H]3C[C@H]4[C@@H]5C[C@H](F)C6=CC(=O)C=C[C@]6(C)[C@@]5(F)[C@@H](O)C[C@]4(C)C3(C(=O)CO)O2)cc1)c1cccc(N)c1,no,ADCpedia
pbd-dimer__mc-val-cit-pab__03,PBD dimer,PBD_anthracycline,cysteine,ValCitPAB,MC-Val-Cit-PAB,Cysteine,cysteine,flagged,47,29,25,9,47,25,succinimide_thioether_4c,True,True,True,C[C@@H](C)C(NC(=O)CCCCCn1c(=O)ccc1=O)C(=O)N[C@@H](C)C(=O)Nc2ccc(N)cc2,COc7ccc(/C6=C/N5C(=O)c4cc(OC)c(OCCCOc3cc2/N=C\[C@@H]1C/C=C\N1C(=O)c2cc3OC)cc4/N=C\[C@@H]5C6)cc7,CC(C)C(NC(=O)CCCCCN1C(=O)C=CC1=O)C(=O)N[C@@H](C)C(=O)Nc1ccc(N)cc1.COc1ccc(C2=CN3C(=O)c4cc(OC)c(OCCCOc5cc6c(cc5OC)C(=O)N5C=CC[C@H]5C=N6)cc4N=C[C@@H]3C2)cc1,no,ADCpedia
dgn549-derivative__mc-val-ala-oh__02,DGN549 derivative,PBD_anthracycline,cysteine,ValAla,MC-Val-Ala-OH,Custeine,cysteine,passed,53,51,20,10,53,20,succinimide_thioether_5c,True,True,True,C[C@H](NC(=O)[C@H](C)NC(=O)CCCCC(=O)NCCN1C(=O)CC(S)C1=O)C(=O)O,COc4cc3C(=O)N2c1ccccc1CC2/C=N\c3cc4OCc8cc(N)cc(COc7cc6NC[C@@H](C)Cc5ccccc5NC(=O)c6cc7OC)c8,C[C@H](NC(=O)[C@H](C)NC(=O)CCCCC(=O)NCCN1C(=O)CC(S)C1=O)C(=O)O.COc1cc2c(cc1OCc1cc(N)cc(COc3cc4c(cc3OC)C(=O)Nc3ccccc3C[C@H](C)CN4)c1)N=CC1Cc3ccccc3N1C2=O,no,ADCpedia
seco-duba__ala-co-amide-c4-boc__02,Seco-DUBA,duocarmycin,other,other,Ala-CO-amide-C4-Boc,<EMPTY>,other,passed,,,,,,,,,False,False,C[C@H](NC(=O)[C@H](C)NC(=O)CCNC(=O)CCC(=O)O)C(=O)O,[H][C@@]46C[C@H]3O[C@@H](c2ccc(C(S)c1cccc(N)c1)cc2)OC3(C(=O)CO)[C@@]4(C)C[C@H](O)[C@]7(F)[C@@]5(C)/C=C\C(=O)\C=C5\[C@@H](F)C[C@@]67[H],C[C@H](NC(=O)[C@H](C)NC(=O)CCNC(=O)CCC(=O)O)C(=O)O.C[C@]12C[C@H](O)[C@@]3(F)[C@@H](C[C@H](F)C4=CC(=O)C=C[C@@]43C)[C@@H]1C[C@H]1O[C@@H](c3ccc(C(S)c4cccc(N)c4)cc3)OC12C(=O)CO,no,ADCpedia
dm4__bis-ss-c3-nhs-ester,DM4,maytansinoid,lysine,disulfide,Bis-SS-C3-NHS ester,lysine,lysine,passed,53,29,7,7,53,7,amide,True,False,True,O=C(CCCS)ON1C(=O)CCC1=O,C[C@]1([C@H](CC(N(C(C=C2C=C3OC)=C3Cl)C)=O)OC([C@H](C)N(C)C(CCC(C)(S)C)=O)=O)[C@H]([C@@H]([C@](OC4=O)([H])C[C@]([C@](/C=C/C=C(C)/C2)([H])OC)(N4)O)C)O1,O=C(CCCS)ON1C(=O)CCC1=O.COc1cc2cc(c1Cl)N(C)C(=O)C[C@H](OC(=O)[C@H](C)N(C)C(=O)CCC(C)(C)S)[C@]1(C)O[C@H]1[C@H](C)[C@@H]1C[C@@](O)(NC(=O)O1)[C@H](OC)/C=C/C=C(\C)C2,yes,ADCpedia
dxd-derivative__mc-gly-gly-phe-gly__04,Dxd derivative,camptothecin,cysteine,GGFG,MC-Gly-Gly-Phe-Gly,cysteine,cysteine,passed,32,19,35,9,32,35,succinimide_thioether_4c,True,True,True,CC[C@@]1(O)C(=O)OCc5c1cc4c3nc2cc(F)c(C)cc2c(CN)c3Cn4c5=O,O=C(O)OCCOCNC(=O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)CCCCCN2C(=O)CC(S)C2=O,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc(F)c(C)cc1c2CN.O=C(CCCCCN1C(=O)CC(S)C1=O)NCC(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(=O)NCOCCOC(=O)O,no,ADCpedia
